SourceAsset,Category,DialogueID,LineIndex,Speaker,Text,ChoiceText,NextDialogueID,Event,Notes
Ghost1NeedRepeat.asset,Ghosts,Ghost1NeedRepeat,0,Gentle Ghost,Did you find what once carried that floral scent?,,,,
Ghost1Repeat.asset,Ghosts,Ghost1Repeat,0,Gentle Ghost,The rose is beautiful.,,,,
Ghost1Repeat.asset,Ghosts,Ghost1Repeat,1,Gentle Ghost,I have nothing more to give you.,,,,
Ghost1Repeat.asset,Ghosts,Ghost1Repeat,2,Gentle Ghost,"But do not forget, the circle comes first.",,,,
Ghost1Success.asset,Ghosts,Ghost1Success,0,Gentle Ghost,...A rose. Thank you! Its scent is just as I remember.,,,,
Ghost1Success.asset,Ghosts,Ghost1Success,1,Gentle Ghost,It helped me remember the living world and I suppose it could help you as well.,,,,
Ghost1Success.asset,Ghosts,Ghost1Success,2,Gentle Ghost,Beyond this graveyard stands a gate sealed by old symbols.,,,,
Ghost1Success.asset,Ghosts,Ghost1Success,3,Gentle Ghost,I remember the first mark clearly. ,,,,
Ghost1Success.asset,Ghosts,Ghost1Success,4,Gentle Ghost,"The circle always comes first, remember that.",,,,
Ghost1Wrong.asset,Ghosts,Ghost1Wrong,0,Gentle Ghost,...No… that is not it.,,,,
Ghost1Wrong.asset,Ghosts,Ghost1Wrong,1,Gentle Ghost,What I remember was fragile… and alive with color. ,,,,
Ghost1Wrong.asset,Ghosts,Ghost1Wrong,2,Gentle Ghost,It carried the scent of spring.,,,,
,,,,,,,,,
Ghost2Need.asset,Ghosts,Ghost2Need,0,Wandering Ghost,...You can hear me too?,,,,
Ghost2Need.asset,Ghosts,Ghost2Need,1,Wandering Ghost,I remember holding something tightly in my hands.,,,,
Ghost2Need.asset,Ghosts,Ghost2Need,2,Wandering Ghost,It was fragile… thin… and covered in words.,,,,
Ghost2Need.asset,Ghosts,Ghost2Need,3,Wandering Ghost,The wind kept trying to steal it from me so I had to crush it in my fist.,,,,
Ghost2Need.asset,Ghosts,Ghost2Need,4,Wandering Ghost,If you happen to find something like that nearby… would you bring it here?,,,,
Ghost2NeedRepeat.asset,Ghosts,Ghost2NeedRepeat,0,Wandering Ghost,Did you find the words I never finished?,,,,
Ghost2Repeat.asset,Ghosts,Ghost2Repeat,0,Wandering Ghost,...Thank you again for returning my words.,,,,
Ghost2Repeat.asset,Ghosts,Ghost2Repeat,1,Wandering Ghost,I feel lighter now.,,,,
Ghost2Repeat.asset,Ghosts,Ghost2Repeat,2,Wandering Ghost,"Do not forget, the triangle is in between the symbols.",,,,
Ghost2Success.asset,Ghosts,Ghost2Success,0,Wandering Ghost,...So it really was still here.,,,,
Ghost2Success.asset,Ghosts,Ghost2Success,1,Wandering Ghost,The words are faded now… but I can still see part of it.,,,,
Ghost2Success.asset,Ghosts,Ghost2Success,2,Wandering Ghost,There a triangle… in between the symbols.,,,,
Ghost2Success.asset,Ghosts,Ghost2Success,3,Wandering Ghost,Perhaps this is what you are searching for.,,,,
Ghost2Wrong.asset,Ghosts,Ghost2Wrong,0,Wandering Ghost,...No… that isn't it.,,,,
Ghost2Wrong.asset,Ghosts,Ghost2Wrong,1,Wandering Ghost,What I lost was lighter than stone… and softer than metal.,,,,
Ghost2Wrong.asset,Ghosts,Ghost2Wrong,2,Wandering Ghost,It carried words that were never meant to be forgotten.,,,,
,,,,,,,,,
Ghost3Need.asset,Ghosts,Ghost3Need,0,Restless Ghost,...This place used to hold something important.,,,,
Ghost3Need.asset,Ghosts,Ghost3Need,1,Restless Ghost,I remember trying to leave… but something was locked.,,,,
Ghost3Need.asset,Ghosts,Ghost3Need,2,Restless Ghost,There was a small piece of cold metal in my hand.,,,,
Ghost3Need.asset,Ghosts,Ghost3Need,3,Restless Ghost,It fit perfectly into something… but I cannot remember what.,,,,
Ghost3Need.asset,Ghosts,Ghost3Need,4,Restless Ghost,If you find something like that… would you bring it to me?,,,,
Ghost3NeedRepeat.asset,Ghosts,Ghost3NeedRepeat,0,Restless Ghost,Did you find what once carried that sweet scent?,,,,
Ghost3Repeat.asset,Ghosts,Ghost3Repeat,0,Restless Ghost,The memory has settled now.,,,,
Ghost3Repeat.asset,Ghosts,Ghost3Repeat,1,Restless Ghost,I remember a square lies in the sequence but it was not the first nor second.,,,,
Ghost3Success.asset,Ghosts,Ghost3Success,0,Restless Ghost,...Yes. This is the one.,,,,
Ghost3Success.asset,Ghosts,Ghost3Success,1,Restless Ghost,The sound it made when it turned… I remember now.,,,,
Ghost3Success.asset,Ghosts,Ghost3Success,2,Restless Ghost,The symbol I saw that night. It was not the first or the second.,,,,
Ghost3Success.asset,Ghosts,Ghost3Success,3,Restless Ghost,That symbol was a square.,,,,
Ghost3Wrong.asset,Ghosts,Ghost3Wrong,0,Restless Ghost,No… that is not what I lost.,,,,
Ghost3Wrong.asset,Ghosts,Ghost3Wrong,1,Restless Ghost,What I remember was small… heavy… and cold.,,,,
,,,,,,,,,
ascendingDoor.asset,Gate Puzzle,Graveyard_AscendingDoorPrimary,0,Akila,This door... I think it is calling for me. Is this where I should go?,,,,
ascendingDoor.asset,Gate Puzzle,Graveyard_AscendingDoorPrimary,1,Akila,But I can't get through. There's something stopping me.,,,,
ascendingDoor.asset,Gate Puzzle,Graveyard_AscendingDoorPrimary,2,Akila,I'm missing something.,,,,
ascendingDoorRepeat.asset,Gate Puzzle,Graveyard_AscendingDoorRepeat,0,Akila,It's still not allowing me to pass.,,,,
,,,,,,,,,
gatePuzzleComplete.asset,Gate Puzzle,Chapter0_gateComplete,0,Akila,The gate unlocked!,,,,
lockedGate.asset,Gate Puzzle,Chapter0_lockedGate,0,Akila,"Now that I have helped the three spirits, I should know how to solve this.",,,,
lockedWithoutName.asset,Other,Chapter0_lockedWithoutName,0,???,Leaving already? I don't even remember who I am…,,,,
wrongPatternDialogue.asset,Gate Puzzle,Chapter0_wrongPatternDialogue,0,Akila,The gate is still shut… maybe the order is wrong.,,,,
,,,,,,,,,
MomDialogue.asset,Story / NPC,Chapter2_mom,0,Akila,MOM??? MOM! ,,,,
MomDialogue.asset,Story / NPC,Chapter2_mom,1,Mom,*Brrr* Oh dear it sure is cold all of a sudden...,,,,
MomDialogue.asset,Story / NPC,Chapter2_mom,2,Mom,I keep telling Bill to keep the windows closed! *tsk tsk*,,,,
MomDialogue.asset,Story / NPC,Chapter2_mom,3,Akila,Mom... why can't you see me.,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
